시도,시군구,읍면동,리,행정구역코드,종말처리시설명,업소수(개)_총계,폐수발생량(㎥/일)_총계,폐수방류량(㎥/일)_총계,BOD발생부하량(kg/일)_총계,TN발생부하량(kg/일)_총계,TP발생부하량(kg/일)_총계,BOD배출부하량(kg/일)_총계,TN배출부하량(kg/일)_총계,TP배출부하량(kg/일)_총계,업소수(개)_종말처리장 연계,폐수발생량(㎥/일)_종말처리장 연계,폐수방류량(㎥/일)_종말처리장 연계,BOD발생부하량(kg/일)_종말처리장 연계,TN발생부하량(kg/일)_종말처리장 연계,TP발생부하량(kg/일)_종말처리장 연계,BOD배출부하량(kg/일)_종말처리장 연계,TN배출부하량(kg/일)_종말처리장 연계,TP배출부하량(kg/일)_종말처리장 연계,업소수(개)_직접 방류,폐수발생량(㎥/일)_직접 방류,폐수방류량(㎥/일)_직접 방류,BOD발생부하량(kg/일)_직접 방류,TN발생부하량(kg/일)_직접 방류,TP발생부하량(kg/일)_직접 방류,BOD배출부하량(kg/일)_직접 방류,TN배출부하량(kg/일)_직접 방류,TP배출부하량(kg/일)_직접 방류,업소수(개)__위탁 처리,폐수발생량(㎥/일)__위탁 처리,폐수방류량(㎥/일)_위탁 처리,BOD발생부하량(kg/일)_위탁 처리,TN발생부하량(kg/일)_위탁 처리,TP발생부하량(kg/일)_위탁 처리,BOD배출부하량(kg/일)_위탁 처리,TN배출부하량(kg/일)_위탁 처리,TP배출부하량(kg/일)_위탁 처리
서울특별시,중구,묵정동,,1114013600,중랑물재생센터,2,71.8,71.8,7.25,2.87,0.72,0.41,0.18,0.01,2,71.8,71.8,7.25,2.87,0.72,0.41,0.18,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,묵정동,,1114013600,,9,0.3,0,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.1,0.04,0,0,0,0
서울특별시,중구,필동1가,,1114013700,중랑물재생센터,2,24.1,24.1,7.73,0.97,0.24,0.24,0.07,0,2,24.1,24.1,7.73,0.97,0.24,0.24,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,필동1가,,1114013700,,20,0.6,0,0.19,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0.19,0.07,0,0,0,0
서울특별시,중구,필동2가,,1114013800,중랑물재생센터,1,21,21,1.62,0.84,0.21,0.25,0.07,0,1,21,21,1.62,0.84,0.21,0.25,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,필동2가,,1114013800,,39,2.6,0,0.82,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0.82,0.32,0,0,0,0
서울특별시,중구,필동3가,,1114013900,중랑물재생센터,1,74,74,21.39,2.96,0.74,0.68,0.15,0,1,74,74,21.39,2.96,0.74,0.68,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,중구,필동3가,,1114013900,,41,1.6,0,0.51,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0.51,0.2,0,0,0,0
서울특별시,중구,주자동,,1114014100,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,중구,예장동,,1114014200,,5,0.3,0,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.1,0.04,0,0,0,0
