행정구역코드,시도,시군구,읍면동,리,합계(㎡),전,답,과수원,목장용지,임야,광천지,염전,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
1111018600,서울특별시,종로구,신영동,,"361,252","36,099",0,0,0,"79,410",0,0,"170,711",0,"7,574",0,0,0,"38,223",0,0,"26,018",93,0,0,0,0,0,0,985,40,0,"2,099"
1111018700,서울특별시,종로구,무악동,,"362,477",0,0,0,0,"168,003",0,0,"146,671",0,"4,914",0,0,0,"37,566",0,0,0,"2,070",0,0,0,"3,252",0,0,0,0,0,0
1114010100,서울특별시,중구,무교동,,"32,185",0,0,0,0,0,0,0,"19,140",0,0,0,0,0,"12,474",0,0,0,0,0,0,0,570,0,0,0,0,0,0
1114010200,서울특별시,중구,다동,,"58,768",0,0,0,0,0,0,0,"36,413",0,0,0,0,0,"19,651",0,0,0,0,0,0,0,"2,641",0,0,0,0,0,63
1114010300,서울특별시,중구,태평로1가,,"74,328",0,0,0,0,0,0,0,"44,892",0,0,0,0,0,"28,596",0,0,0,0,0,0,0,0,0,0,0,0,0,840
1114010400,서울특별시,중구,을지로1가,,"62,451",0,0,0,0,0,0,0,"37,906",0,0,0,0,0,"24,545",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114010500,서울특별시,중구,을지로2가,,"112,474",0,0,0,0,0,0,0,"72,171",0,0,0,0,0,"39,478",0,0,0,0,0,0,0,825,0,0,0,0,0,0
1114010600,서울특별시,중구,남대문로1가,,"18,720",0,0,0,0,0,0,0,"4,406",0,0,0,0,0,"14,314",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114010700,서울특별시,중구,삼각동,,"27,260",0,0,0,0,0,0,0,"12,495",0,0,0,0,0,"12,544",0,0,0,0,0,0,0,"2,221",0,0,0,0,0,0
1114010800,서울특별시,중구,수하동,,"18,489",0,0,0,0,0,0,0,"14,706",0,0,0,0,0,"3,469",0,0,0,0,0,0,0,315,0,0,0,0,0,0
1114010900,서울특별시,중구,장교동,,"33,987",0,0,0,0,0,0,0,"18,740",0,0,0,0,0,"15,076",0,0,0,0,0,0,0,171,0,0,0,0,0,0
1114011000,서울특별시,중구,수표동,,"35,126",0,0,0,0,0,0,0,"23,296",0,0,0,0,0,"11,383",0,0,0,0,0,0,0,448,0,0,0,0,0,0
1114011100,서울특별시,중구,소공동,,"82,285",0,0,0,0,0,0,0,"60,000",0,0,0,0,0,"18,748",0,0,0,0,0,0,0,0,0,0,0,"3,537",0,0
1114011200,서울특별시,중구,남창동,,"138,532",0,0,0,0,0,0,0,"76,880",0,0,370,0,0,"45,168",13,0,0,0,0,0,0,"11,388",0,0,"4,713",0,0,0
1114011300,서울특별시,중구,북창동,,"44,315",0,0,0,0,0,0,0,"36,097",0,0,0,0,0,"8,218",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114011400,서울특별시,중구,태평로2가,,"82,257",0,0,0,0,0,0,0,"39,446",0,0,0,0,0,"42,812",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114011500,서울특별시,중구,남대문로2가,,"26,546",0,0,0,0,0,0,0,"5,988",0,0,0,0,0,"20,546",0,0,0,12,0,0,0,0,0,0,0,0,0,0
1114011600,서울특별시,중구,남대문로3가,,"33,664",0,0,0,0,0,0,0,"20,241",0,0,0,0,0,"13,424",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114011700,서울특별시,중구,남대문로4가,,"54,809",0,0,0,0,0,0,0,"29,567",0,0,0,0,0,"22,809",0,0,0,0,0,0,0,0,0,0,0,"2,433",0,0
1114011800,서울특별시,중구,남대문로5가,,"228,914",0,0,0,0,0,0,0,"122,014",0,0,426,953,0,"73,871",0,0,0,0,0,0,0,"31,651",0,0,0,0,0,0
1114011900,서울특별시,중구,봉래동1가,,"41,465",0,0,0,0,0,0,0,"20,195",0,0,0,0,0,"20,331",939,0,0,0,0,0,0,0,0,0,0,0,0,0
1114012000,서울특별시,중구,봉래동2가,,"129,445",0,0,0,0,0,0,0,"2,493",0,0,0,0,0,"21,154","105,798",0,0,0,0,0,0,0,0,0,0,0,0,0
