시도,시군구,읍면동,리,행정구역코드,총계(개소),골프장,금은판매점의 세공시설,농축수산물단순가공시설,사진처리 또는 X-Ray 시설,안경점,운수장비정비시설(폐차장포함)
서울특별시,구로구,고척동,,1153010600,26,0,0,0,22,0,4
서울특별시,구로구,구로동,,1153010200,63,0,0,0,54,0,9
서울특별시,구로구,궁동,,1153010900,5,0,0,0,5,0,0
서울특별시,구로구,신도림동,,1153010100,12,0,0,0,10,0,2
서울특별시,구로구,오류동,,1153010800,25,0,0,0,22,0,3
서울특별시,구로구,온수동,,1153011000,6,0,0,0,2,0,4
서울특별시,구로구,천왕동,,1153011100,4,0,0,0,3,0,1
서울특별시,금천구,가산동,,1154510100,18,0,0,0,15,0,3
서울특별시,금천구,독산동,,1154510200,68,0,0,0,33,0,35
서울특별시,금천구,시흥동,,1154510300,33,0,0,0,30,0,3
서울특별시,영등포구,당산동1가,,1156011100,2,0,0,0,2,0,0
서울특별시,영등포구,당산동2가,,1156011200,1,0,0,0,1,0,0
서울특별시,영등포구,당산동3가,,1156011300,3,0,0,0,2,0,1
서울특별시,영등포구,당산동4가,,1156011400,2,0,0,0,2,0,0
서울특별시,영등포구,당산동5가,,1156011500,4,0,0,0,4,0,0
서울특별시,영등포구,당산동6가,,1156011600,2,0,0,0,2,0,0
서울특별시,영등포구,대림동,,1156013300,22,0,0,0,22,0,0
서울특별시,영등포구,도림동,,1156011800,3,0,0,0,3,0,0
서울특별시,영등포구,문래동1가,,1156011900,2,0,0,0,0,0,2
서울특별시,영등포구,문래동2가,,1156012000,3,0,0,0,3,0,0
서울특별시,영등포구,문래동3가,,1156012100,9,0,0,1,7,0,1
서울특별시,영등포구,문래동5가,,1156012300,2,0,0,0,0,0,2
서울특별시,영등포구,문래동6가,,1156012400,2,0,0,0,0,0,2
서울특별시,영등포구,신길동,,1156013200,32,0,0,0,32,0,0
서울특별시,영등포구,양평동1가,,1156012500,5,0,0,0,3,0,2
서울특별시,영등포구,양평동2가,,1156012600,7,0,0,0,4,0,3
서울특별시,영등포구,양평동3가,,1156012700,5,0,0,0,1,0,4
서울특별시,영등포구,양평동4가,,1156012800,5,0,0,0,2,0,3
서울특별시,영등포구,양평동5가,,1156012900,9,0,0,0,3,0,6
서울특별시,영등포구,양평동6가,,1156013000,4,0,0,0,0,0,4
서울특별시,영등포구,양화동,,1156013100,1,0,0,0,0,0,1
서울특별시,영등포구,여의도동,,1156011000,18,0,1,0,17,0,0
서울특별시,영등포구,영등포동,,1156010100,3,0,0,0,3,0,0
서울특별시,영등포구,영등포동1가,,1156010200,1,0,0,0,0,0,1
서울특별시,영등포구,영등포동2가,,1156010300,1,0,0,0,0,0,1
서울특별시,영등포구,영등포동3가,,1156010400,4,0,0,0,4,0,0
서울특별시,영등포구,영등포동4가,,1156010500,8,0,1,0,7,0,0
서울특별시,영등포구,영등포동5가,,1156010600,1,0,0,0,1,0,0
서울특별시,영등포구,영등포동6가,,1156010700,3,0,0,0,3,0,0
서울특별시,영등포구,영등포동7가,,1156010800,3,0,0,0,2,0,1
서울특별시,영등포구,영등포동8가,,1156010900,10,0,0,0,7,0,3
서울특별시,동작구,노량진동,,1159010100,12,0,0,0,12,0,0
서울특별시,동작구,대방동,,1159010800,12,0,0,0,11,0,1
서울특별시,동작구,본동,,1159010400,1,0,0,0,1,0,0
서울특별시,동작구,사당동,,1159010700,34,0,0,0,34,0,0
서울특별시,동작구,상도1동,,1159010300,3,0,0,0,3,0,0
서울특별시,동작구,상도동,,1159010200,26,0,0,0,26,0,0
서울특별시,동작구,신대방동,,1159010900,9,0,0,0,9,0,0
서울특별시,동작구,흑석동,,1159010500,11,0,0,0,11,0,0
서울특별시,관악구,남현동,,1162010300,4,0,0,0,4,0,0
서울특별시,관악구,봉천동,,1162010100,88,0,0,0,87,0,1
서울특별시,관악구,신림동,,1162010200,86,0,0,0,83,0,3
서울특별시,서초구,내곡동,,1165010900,1,0,0,0,0,0,1
서울특별시,서초구,반포동,,1165010700,36,0,0,0,35,0,1
서울특별시,서초구,방배동,,1165010100,44,0,1,0,33,0,10
서울특별시,서초구,서초동,,1165010800,109,0,1,0,91,0,17
서울특별시,서초구,양재동,,1165010200,38,0,0,0,26,0,12
서울특별시,서초구,염곡동,,1165011000,2,0,0,0,0,0,2
서울특별시,서초구,우면동,,1165010300,2,0,0,0,2,0,0
서울특별시,서초구,잠원동,,1165010600,30,0,3,0,24,0,3
서울특별시,강남구,개포동,,1168010300,22,0,0,0,17,0,5
서울특별시,강남구,논현동,,1168010800,40,0,0,0,39,0,1
서울특별시,강남구,대치동,,1168010600,37,0,0,0,34,0,3
서울특별시,강남구,도곡동,,1168011800,15,0,0,0,13,0,2
서울특별시,강남구,삼성동,,1168010500,21,0,0,0,20,0,1
서울특별시,강남구,수서동,,1168011500,7,0,0,0,5,0,2
서울특별시,강남구,신사동,,1168010700,50,0,0,0,49,0,1
서울특별시,강남구,역삼동,,1168010100,50,0,0,0,39,0,11
서울특별시,강남구,율현동,,1168011300,1,0,0,0,0,0,1
서울특별시,강남구,일원동,,1168011400,7,0,0,0,7,0,0
서울특별시,강남구,청담동,,1168010400,8,0,0,0,8,0,0
서울특별시,송파구,가락동,,1171010700,35,0,0,0,23,0,12
서울특별시,송파구,거여동,,1171011300,12,0,0,0,12,0,0
서울특별시,송파구,마천동,,1171011400,14,0,0,0,10,0,4
서울특별시,송파구,문정동,,1171010800,20,0,0,0,14,0,6
서울특별시,송파구,방이동,,1171011100,32,0,0,0,18,0,14
서울특별시,송파구,삼전동,,1171010600,13,0,1,0,10,0,2
서울특별시,송파구,석촌동,,1171010500,13,0,0,0,12,0,1
서울특별시,송파구,송파동,,1171010400,18,0,0,0,18,0,0
서울특별시,송파구,신천동,,1171010200,9,0,0,0,9,0,0
서울특별시,송파구,오금동,,1171011200,12,0,0,0,6,0,6
서울특별시,송파구,잠실동,,1171010100,26,0,0,0,25,0,1
서울특별시,송파구,장지동,,1171010900,6,1,0,0,1,0,4
서울특별시,송파구,풍납동,,1171010300,11,0,0,0,10,0,1
서울특별시,강동구,강일동,,1174011000,4,0,0,0,2,0,2
서울특별시,강동구,고덕동,,1174010200,6,0,0,0,5,0,1
서울특별시,강동구,길동,,1174010500,24,0,0,0,23,0,1
서울특별시,강동구,둔촌동,,1174010600,9,0,0,0,9,0,0
서울특별시,강동구,명일동,,1174010100,28,0,0,0,28,0,0
서울특별시,강동구,상일동,,1174010300,4,0,0,0,4,0,0
서울특별시,강동구,성내동,,1174010800,33,0,0,0,29,0,4
서울특별시,강동구,암사동,,1174010700,16,0,0,0,15,0,1
서울특별시,강동구,천호동,,1174010900,41,0,0,0,39,0,2
부산광역시,동구,범일동,,2617010400,22,0,0,0,17,0,5
부산광역시,동구,수정동,,2617010200,13,0,0,0,13,0,0
부산광역시,동구,좌천동,,2617010300,1,0,0,0,1,0,0
부산광역시,동구,초량동,,2617010100,10,0,0,0,10,0,0
부산광역시,영도구,남항동1가,,2620010500,2,0,0,0,1,0,1
부산광역시,영도구,남항동3가,,2620010700,1,0,0,0,0,0,1
부산광역시,영도구,대교동1가,,2620010100,4,0,0,0,3,0,1
부산광역시,영도구,대교동2가,,2620010200,5,0,0,0,5,0,0
부산광역시,영도구,대평동2가,,2620010400,1,0,0,0,0,0,1
부산광역시,영도구,동삼동,,2620012100,14,0,0,0,11,0,3
부산광역시,영도구,봉래동1가,,2620011500,1,0,0,0,1,0,0
부산광역시,영도구,봉래동2가,,2620011600,1,0,0,0,1,0,0
부산광역시,영도구,봉래동3가,,2620011700,3,0,0,0,3,0,0
부산광역시,영도구,봉래동4가,,2620011800,1,0,0,0,1,0,0
부산광역시,영도구,영선동1가,,2620010800,1,0,0,0,1,0,0
부산광역시,영도구,영선동2가,,2620010900,4,0,0,0,4,0,0
부산광역시,영도구,영선동3가,,2620011000,2,0,0,0,2,0,0
부산광역시,영도구,영선동4가,,2620011100,1,0,0,0,0,0,1
부산광역시,영도구,청학동,,2620012000,6,0,0,0,3,0,3
부산광역시,부산진구,가야동,,2623011000,11,0,0,0,9,0,2
부산광역시,부산진구,개금동,,2623011100,12,0,0,0,11,0,1
부산광역시,부산진구,당감동,,2623010900,19,0,0,0,18,0,1
부산광역시,부산진구,범천동,,2623010400,12,0,0,0,11,0,1
부산광역시,부산진구,부암동,,2623010800,14,0,0,0,10,0,4
부산광역시,부산진구,부전동,,2623010300,31,0,0,0,30,0,1
부산광역시,부산진구,양정동,,2623010100,11,0,0,0,10,0,1
부산광역시,부산진구,연지동,,2623010600,8,0,0,0,7,0,1
부산광역시,부산진구,전포동,,2623010200,13,0,0,0,11,0,2
부산광역시,부산진구,초읍동,,2623010700,6,0,0,0,5,0,1
부산광역시,동래구,낙민동,,2626010400,4,0,0,0,4,0,0
부산광역시,동래구,명륜동,,2626010700,10,0,0,0,9,0,1
부산광역시,동래구,명장동,,2626010100,8,0,0,0,8,0,0
부산광역시,동래구,복천동,,2626010500,3,0,0,0,3,0,0
부산광역시,동래구,사직동,,2626010900,18,0,2,0,14,0,2
